id,name,commune_id
,Urb. 2 de Junio,8
,Urb. Agua Marina,8
,Urb. Altos de Vasconia,8
,Urb. Antonio Maria.,8
,Urb. Brisas de Vasconia,8
,Urb. Buenaventura Garcia,8
,Urb. Ciudad Blanca,8
,Urb. El Palmar I,8
,Urb. El Palmar II,8
,Urb. El Prado I,8
,Urb. El Prado II,8
,Urb. Jardin Atolsure,8
,Urb. Jardin Av,8
,Urb. Jardin Chipalo,8
,Urb. Jardin Chipalo II,8
,Urb. Jardin II,8
,Urb. Jardin Porvenir,8
,Urb. Jardin VI,8
,Urb. Jardines Del Campo,8
,Urb. La Esmeralda,8
,Urb. Las Acacias,8
,Urb. Los Comuneros,8
,Urb. Los Laureles,8
,Urb. Pinos,8
,Urb. Nueva Castilla,8
,Urb. Nueva Colombia,8
,Urb. Nuevo Armero,8
,Urb. Nuevo Combeima,8
,Urb. Portal de Arkala,8
,Urb. Protecho,8
,Urb. Quinta Av,8
,Urb. Tolima Grande,8
,Urb. Vasconia,8
,Urb. Vasconia Reservado,8
,Urb. Villa Del Norte,8
,Urb. Villa Del Palmar,8
,Urb. Villa Del Sol,8
,Urb. Villa Esperanza,8
,Urb. Villa Jardin,8
,Urb. Villa La Paz,8
,Urb. Magdalena,8
,Urb. Villa Marcela,8
,Urb. Villa Vicentina,8
,Villa Cristales,8
,Yerbabuena,8
,2 Etapa del Jordan,9
,Alfonso Uribe Badillo,9
,Altamira,9
,Aparco,9
,Arboleda,9
,Arkaniza I,9
,Arkaniza II,9
,Arkaparaiso,9
,Bello Horizonte,9
,Bosque De La Alameda,9
,Carrenales,9
,Conj. Las Palmeras,9
,Conj. Residencial Valparaiso,9
,El Tunal,9
,Hacienda Piedra Pintada,9
,Jordan 3 Etapa,9
,Jordan 1 Etapa,9
,La Floresta,9
,Los Tunjos,9
,Picaleñita,9
,Picaleña,9
,Portal De Los Tunjos,9
,Reservas Del Campestre,9
,Rincon De Las Americas,9
,Rincon Del Campestre,9
,San Francisco,9
,San Remo,9
,Urb. Bosque De Varsovia,9
,Urb. Chaquen,9
,Urb. Ciudad Luz,9
,Urb. Comfenalco,9
,Urb. Coopdiasam,9
,Urb. Cutucumay,9
,Urb. El Poblado,9
,Urb. Las Americas,9
,Urb. Las Flores,9
,Urb. Los Remansos,9
,Urb. Miraflores,9
,Urb. Nuevo Horizonte,9
,Urb. Portal Campestre,9
,Urb. Padreras De Santa Rita,9
,Urb. Tahiti,9
,Urb. Varsovia,9
,Urb. Villa Arkadia,9
,Urb. Villa Café,9
,Urb. Villa De La Candelaria,9
,Urb. Villa Luz,9
,Urb. Villa Yuli,9
,Valparaiso I,9
,Valparaiso II,9
,Valparaiso III,9
,Valparaiso IV,9
,Versalles,9
,Villa Carvajalita,9
,Villa Del Pilar,9
,Villa Maria,9
,Villa Natalia,9
,29. rkalena,10
,Bosques De Santa Helena,10
,Boyaca,10
,Cadiz,10
,Casa Club,10
,Castellana,10
,Claret,10
,Departamental,10
,Federico Lleras,10
,Hipodromo,10
,La Francia,10
,Las Palmas,10
,Laureles,10
,Macarena Parte Alta,10
,Macarena Parte Baja,10
,Magisterio,10
,Metaima Alta,10
,Metaima Parte Baja,10
,Montealegre,10
,Nacional,10
,Naciones Unidas,10
,San Cayetano,10
,Santa Helena,10
,Santander,10
,12 De Octubre,11
,Alto De La Cruz,11
,America,11
,Arado,11
,Bosque Parte Alta,11
,Bosque Parte Baja,11
,El Refugio II,11
,El Refugio II,11
,Garzon,11
,Independiente,11
,La Isla,11
,La Martinica,11
,Las Brisas,11
,Las Ferias,11
,Libertad,11
,Los Martires,11
,Peñon,11
,Popular,11
,Rodriguez Andrade,11
,San Vicente De Paul,11
,Uribe Uribe,11
,Villa Del Rio,11
,Villa Maria,11
,Andres Lopez De Galarza,12
,Avenida,12
,Colonias De Asprovi,12
,Galan,12
,Industrial,12
,Keneddy,12
,La Gaitana,12
,La Padera,12
,La Reforma,12
,Las Vegas,12
,Matallana,12
,Murillo Toro,12
,Ricaurte,12
,Rosa Badillo,12
,Santofimio,12
,Urb. Arkaima,12
,Urb. Divino Niño,12
,Urb. Terrazas Del Tejar,12
,Venecia,12
,Villa Claudia,12
,Villa Luces,12
,Yuldaima,12
,Albania,13
,Boqueron,13
,Cerro Granate,13
,Colina 1,13
,Colina 2,13
,Dario Echandia,13
,Granada,13
,Isla,13
,Jazmin,13
,La Union,13
,Miramar,13
,San Isidro,13
,Terrazas De Boqueron,13
,Villa Mery,13
